,Pillar,Key_issue,Count,Weight,Percentage,MinMaxScaler
0,Environment,Biodiversity and Land Use,325,140.84449999999998,0.07472508874116598,0.5311074097473499
1,Environment,Carbon Emissions,368,195.44980000000004,0.10369594587962716,0.8479006363676976
2,Environment,Climate Change Vulnerability,178,74.8991,0.039737738386188076,0.14852447280222825
3,Environment,Electronic Waste,141,79.966,0.042425983593793716,0.1779201468478362
4,Environment,Financing Environmental Impact,380,178.06699999999998,0.09447349649346054,0.7470541379564409
5,Environment,Opportunities in Clean Tech,258,112.94839999999999,0.05992480510898695,0.36926788997319115
6,Environment,Opportunities in Green Building,375,169.4749,0.08991495544306119,0.6972069787531276
7,Environment,Opportunities in Renewable Energy,342,132.79139999999998,0.07045251429103493,0.484387264755997
8,Environment,Packaging Material and Waste,422,221.667,0.11760548864874412,1.0
9,Environment,Product Carbon Footprint,480,203.76420000000002,0.10810715311760627,0.8961367160781325
10,Environment,Raw Material Sourcing,431,183.274,0.0972360717951248,0.7772626036367349
11,Environment,Toxic Emissions and Waste,246,142.3911,0.07554563780234401,0.5400800260371795
12,Environment,Water Stress,94,49.298100000000005,0.02615512069886205,0.0
13,Governance,Accounting,179,100.21339999999998,0.1730773282782627,0.627353774007563
14,Governance,Board,119,75.70420000000001,0.1307477909685058,0.43300798580301697
15,Governance,Business Ethics,210,108.92819999999999,0.18812855197169498,0.6964578114728813
16,Governance,Ownership and Control,279,147.2083,0.25424164098199425,1.0
17,Governance,Pay,219,125.85830000000001,0.21736831906355913,0.8307050993844327
18,Governance,Tax Transparency,55,21.096999999999998,0.0364363687359825,0.0
19,Social,Access to Communications,93,49.9795,0.024253227972918425,0.04027668107136154
20,Social,Access to Finance,75,39.232299999999995,0.01903800389763658,0.0
21,Social,Access to Health Care,153,71.46419999999999,0.034678969067362356,0.12079369106595365
22,Social,Chemical Safety,302,168.79259999999994,0.08190889080406225,0.48554589870942355
23,Social,Community Relations,124,76.98089999999999,0.037356022314357605,0.14146831947766833
24,Social,Controversial Sourcing,209,97.25379999999998,0.04719372107829437,0.21744393430679637
25,Social,Financial Product Safety,352,156.57679999999996,0.07598100872697912,0.439765427458164
26,Social,Health and Demographic Risk,261,129.7534,0.06296459129165505,0.33924086970827966
27,Social,Health and Safety,398,253.3208,0.12292734246405174,0.8023275118678521
28,Social,Human Capital Development,240,100.47150000000002,0.048755153498555893,0.22950272884707862
29,Social,Labor Management,494,306.0666,0.1485229549054319,1.0
30,Social,Opportunities in Nutrition and Health,149,68.08050000000001,0.033036982903195775,0.10811278759889573
31,Social,Privacy and Data Security,177,89.63140000000001,0.04349484844249824,0.1888778916353708
32,Social,Product Safety and Quality,482,248.90049999999997,0.12078233213764407,0.785761800488168
33,Social,Responsible Investment,131,73.7961,0.03581055506382187,0.12953282242950026
34,Social,Supply Chain Labor Standards,299,130.4351,0.06329539543153517,0.34179563871661184
