,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.0,0.0,0.0,0.0
1,Environment,Carbon Emissions,0.13333333333333333,0.0014866390666164848,0.671125,0.003990882574331953
2,Environment,Climate Change Vulnerability,0.1,0.00043281896876176136,0.5652,0.0007338878434324426
3,Environment,Electronic Waste,0.03333333333333333,1.881821603312006e-05,0.587,1.1046292811441476e-05
4,Environment,Financing Environmental Impact,0.1,0.0012984569062852841,0.5695666666666667,0.0022186733157696648
5,Environment,Opportunities in Clean Tech,0.03333333333333333,0.00041400075272864133,0.5407,0.00022385020700037636
6,Environment,Opportunities in Green Building,0.06666666666666667,0.00026345502446368087,0.5297000000000001,0.00027910425291682357
7,Environment,Opportunities in Renewable Energy,0.06666666666666667,0.00022581859239744072,0.6973,0.00031492660895747086
8,Environment,Packaging Material and Waste,0.1,0.00020700037636432067,0.5847,0.00036309936018065486
9,Environment,Product Carbon Footprint,0.06666666666666667,0.000639819345126082,0.52925,0.0006772487768159578
10,Environment,Raw Material Sourcing,0.06666666666666667,0.00016936394429808055,0.5328999999999999,0.00018050809183289422
11,Environment,Toxic Emissions and Waste,0.13333333333333333,0.0014490026345502446,0.601,0.003483402333458788
12,Environment,Water Stress,0.06666666666666667,0.00035754610462928113,0.53205,0.00038046480993601806
13,Governance,Accounting,0.8333333333333334,0.028904779826872413,0.581924,0.4205096273993225
14,Governance,Board,0.13333333333333333,0.0007527286413248024,0.636775,0.0019172751223184043
15,Governance,Business Ethics,0.06666666666666667,0.002088821979676327,0.6978,0.0029151599548362817
16,Governance,Ownership and Control,0.7666666666666667,0.011723748588633797,0.6078652173913044,0.16390855664283027
17,Governance,Pay,1.0,0.021245765901392547,0.6366866666666666,0.4058068761761385
18,Governance,Tax Transparency,0.2,0.005720737674068498,0.6142333333333333,0.02108320662401204
19,Social,Access to Communications,0.2,0.00035754610462928113,0.5773833333333334,0.0012386469702672187
20,Social,Access to Finance,0.26666666666666666,0.008618742943168988,0.6013875,0.041465634173880314
21,Social,Access to Health Care,0.1,0.0002822732404968009,0.5458999999999999,0.00046227888596161076
22,Social,Chemical Safety,0.1,0.0021452766277756867,0.6895666666666666,0.004437933759879563
23,Social,Community Relations,0.26666666666666666,0.0011855476100865639,0.5849125,0.005547532931878057
24,Social,Controversial Sourcing,0.0,0.0,0.0,0.0
25,Social,Financial Product Safety,0.03333333333333333,0.00016936394429808055,0.5189,8.788295069627401e-05
26,Social,Health and Demographic Risk,0.1,0.0020700037636432068,0.6092333333333334,0.003783345878810689
27,Social,Health and Safety,0.2,0.0022958223560406474,0.59445,0.008188509597290177
28,Social,Human Capital Development,0.03333333333333333,0.0026345502446368085,0.5586,0.0014716597666541212
29,Social,Labor Management,0.6333333333333333,0.007414377117049304,0.5906210526315789,0.08320265713210388
30,Social,Opportunities in Nutrition and Health,0.0,0.0,0.0,0.0
31,Social,Privacy and Data Security,0.1,0.0011855476100865639,0.5843666666666666,0.0020783835152427548
32,Social,Product Safety and Quality,0.16666666666666666,0.002408731652239368,0.54016,0.006505502446368085
33,Social,Responsible Investment,0.5,0.013398569815581483,0.5811266666666667,0.11679399322544225
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0003387278885961611,0.50705,0.000343503951825367
