,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.1,0.0005796955338239741,0.5273333333333333,0.0009170783345095271
1,Environment,Carbon Emissions,0.13333333333333333,0.0006805121484020567,0.6542,0.001780764189938502
2,Environment,Climate Change Vulnerability,0.06666666666666667,0.00010081661457808247,0.5860000000000001,0.00011815707228551267
3,Environment,Electronic Waste,0.13333333333333333,0.00040326645831232987,0.576325,0.000929650166347414
4,Environment,Financing Environmental Impact,0.16666666666666666,0.0010081661457808247,0.5795600000000001,0.002921463857243674
5,Environment,Opportunities in Clean Tech,0.03333333333333333,5.0408307289041234e-05,0.5407,2.7255771751184594e-05
6,Environment,Opportunities in Green Building,0.1,0.0006048996874684948,0.5302333333333333,0.0009622139328561346
7,Environment,Opportunities in Renewable Energy,0.03333333333333333,5.0408307289041234e-05,0.6826,3.4408710555499544e-05
8,Environment,Packaging Material and Waste,0.16666666666666666,0.0005544913801794536,0.59828,0.0016587055146688177
9,Environment,Product Carbon Footprint,0.1,0.0001512249218671237,0.5642,0.00025596330275229356
10,Environment,Raw Material Sourcing,0.06666666666666667,0.0004788789192458917,0.59875,0.0005734575057969553
11,Environment,Toxic Emissions and Waste,0.1,0.0006301038411130154,0.6155333333333334,0.0011635497529992943
12,Environment,Water Stress,0.06666666666666667,0.0004788789192458917,0.534,0.0005114426857546124
13,Governance,Accounting,0.9333333333333333,0.026615586248613772,0.5790071428571428,0.43149720737977615
14,Governance,Board,0.16666666666666666,0.0011089827603589072,0.63544,0.00352346002621232
15,Governance,Business Ethics,0.03333333333333333,0.0024700070571630206,0.5786,0.0014291460832745236
16,Governance,Ownership and Control,0.7666666666666667,0.008771045468293175,0.5907695652173913,0.11917833450952717
17,Governance,Pay,1.0,0.01918036092348019,0.6314533333333333,0.3633450851900393
18,Governance,Tax Transparency,0.2,0.007082367174110293,0.5959666666666666,0.025325128541183586
19,Social,Access to Communications,0.3,0.001512249218671237,0.5836777777777777,0.007943996370601874
20,Social,Access to Finance,0.3333333333333333,0.010358907147897974,0.5987,0.06201877709446517
21,Social,Access to Health Care,0.1,0.0011341869140034278,0.5826333333333333,0.0019824453069865913
22,Social,Chemical Safety,0.03333333333333333,0.0003024498437342474,0.6567,0.00019861881238028025
23,Social,Community Relations,0.26666666666666666,0.0018146990624054843,0.5662125,0.008220042342978122
24,Social,Controversial Sourcing,0.03333333333333333,0.0004536747656013711,0.7556,0.000342796652888396
25,Social,Financial Product Safety,0.03333333333333333,0.0003024498437342474,0.5189,0.000156941223913701
26,Social,Health and Demographic Risk,0.16666666666666666,0.002495211210807541,0.5823,0.007264807440266156
27,Social,Health and Safety,0.26666666666666666,0.003226131666498639,0.579075,0.014945377558221595
28,Social,Human Capital Development,0.03333333333333333,0.0012350035285815103,0.5586,0.0006898729710656317
29,Social,Labor Management,0.8,0.006099405181973989,0.5884916666666666,0.08614677890916422
30,Social,Opportunities in Nutrition and Health,0.0,0.0,0.0,0.0
31,Social,Privacy and Data Security,0.13333333333333333,0.002167557213428773,0.6133,0.005317451355983466
32,Social,Product Safety and Quality,0.16666666666666666,0.00448633934872467,0.54016,0.012116705313035587
33,Social,Responsible Investment,0.4666666666666667,0.013030547434217159,0.5746214285714286,0.10482684494404679
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0014114326040931546,0.50705,0.001431333803810868
