,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.06666666666666667,0.0002574481170530772,0.5298,0.00027279202482944064
1,Environment,Carbon Emissions,0.16666666666666666,0.0007723443511592317,0.62608,0.002417746756868859
2,Environment,Climate Change Vulnerability,0.1,0.0001573294048657694,0.59,0.00027847304661241185
3,Environment,Electronic Waste,0.23333333333333334,0.00038617217557961584,0.5941857142857143,0.0016062059298882962
4,Environment,Financing Environmental Impact,0.13333333333333333,0.001172819199908463,0.566725,0.0026586638442724947
5,Environment,Opportunities in Clean Tech,0.06666666666666667,0.000143026731696154,0.5396,0.0001543544488464894
6,Environment,Opportunities in Green Building,0.1,0.0001287240585265386,0.5302333333333333,0.00020476135989816495
7,Environment,Opportunities in Renewable Energy,0.03333333333333333,2.86053463392308e-05,0.6826,1.9526009411158944e-05
8,Environment,Packaging Material and Waste,0.2,0.000500593560936539,0.5905166666666667,0.0017736530457542513
9,Environment,Product Carbon Footprint,0.1,0.0002002374243746156,0.5642,0.0003389218644964744
10,Environment,Raw Material Sourcing,0.03333333333333333,7.1513365848077e-05,0.6338,4.5325171274511206e-05
11,Environment,Toxic Emissions and Waste,0.23333333333333334,0.0008152523706680779,0.6084142857142857,0.0034720783214382766
12,Environment,Water Stress,0.06666666666666667,0.0001001187121873078,0.5439499999999999,0.00010891914698857214
13,Governance,Accounting,0.9333333333333333,0.030407483158602342,0.5813357142857143,0.49495476636583374
14,Governance,Board,0.16666666666666666,0.0008724630633465395,0.63012,0.0027487821273796073
15,Governance,Business Ethics,0.1,0.004734184819142698,0.7205,0.010232940486576943
16,Governance,Ownership and Control,0.9,0.006164452136104238,0.5809555555555556,0.09669436331650386
17,Governance,Pay,1.0,0.01446000257448117,0.6442,0.2794540097544231
18,Governance,Tax Transparency,0.2,0.0068366777750761614,0.5959666666666666,0.02444659238811734
19,Social,Access to Communications,0.3333333333333333,0.0009010684096857703,0.60567,0.005457501036943806
20,Social,Access to Finance,0.3333333333333333,0.008181129053020009,0.5923499999999999,0.048460917945564015
21,Social,Access to Health Care,0.16666666666666666,0.0007866470243288471,0.57494,0.0022613742008381365
22,Social,Chemical Safety,0.23333333333333334,0.000429080195088462,0.6209428571428571,0.0018650399759715089
23,Social,Community Relations,0.4,0.0026173891900396185,0.5763833333333334,0.018103434071828028
24,Social,Controversial Sourcing,0.03333333333333333,7.1513365848077e-05,0.7556,5.4035499234806984e-05
25,Social,Financial Product Safety,0.03333333333333333,0.0001859347512050002,0.5189,9.648154240027461e-05
26,Social,Health and Demographic Risk,0.16666666666666666,0.0028033239412446186,0.5777,0.00809740120428508
27,Social,Health and Safety,0.3333333333333333,0.003561365619234235,0.5847,0.02082330477566257
28,Social,Human Capital Development,0.06666666666666667,0.0008438577170073087,0.5322,0.0008982021539825794
29,Social,Labor Management,0.7666666666666667,0.010941544974755782,0.592604347826087,0.14913216385142383
30,Social,Opportunities in Nutrition and Health,0.03333333333333333,5.72106926784616e-05,0.5259,3.0087103279602957e-05
31,Social,Privacy and Data Security,0.16666666666666666,0.0037186950241000043,0.6065400000000001,0.011277686399588083
32,Social,Product Safety and Quality,0.16666666666666666,0.004991632936195775,0.54016,0.013481402234077549
33,Social,Responsible Investment,0.5,0.01358753951113463,0.57836,0.11787734027489737
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0011871218730780783,0.50705,0.0012038602914884791
