,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.06666666666666667,0.00027412280701754384,0.51845,0.0002842379385964912
1,Environment,Carbon Emissions,0.03333333333333333,4.5687134502923974e-05,0.5245,2.396290204678362e-05
2,Environment,Climate Change Vulnerability,0.06666666666666667,7.309941520467836e-05,0.6109,8.931286549707603e-05
3,Environment,Electronic Waste,0.13333333333333333,0.0002010233918128655,0.560025,0.00045031250000000003
4,Environment,Financing Environmental Impact,0.13333333333333333,0.0024762426900584796,0.5849,0.005793417397660819
5,Environment,Opportunities in Clean Tech,0.03333333333333333,2.7412280701754386e-05,0.5407,1.4821820175438596e-05
6,Environment,Opportunities in Green Building,0.06666666666666667,8.223684210526316e-05,0.5353,8.804276315789473e-05
7,Environment,Opportunities in Renewable Energy,0.03333333333333333,9.137426900584795e-06,0.6826,6.237207602339181e-06
8,Environment,Packaging Material and Waste,0.06666666666666667,3.654970760233918e-05,0.512,3.742690058479532e-05
9,Environment,Product Carbon Footprint,0.03333333333333333,9.137426900584795e-06,0.6341,5.794042397660819e-06
10,Environment,Raw Material Sourcing,0.03333333333333333,0.0002558479532163743,0.5021,0.00012846125730994152
11,Environment,Toxic Emissions and Waste,0.03333333333333333,4.5687134502923974e-05,0.5523,2.5233004385964913e-05
12,Environment,Water Stress,0.1,0.0010051169590643274,0.6470333333333333,0.001951032529239766
13,Governance,Accounting,1.0,0.030729166666666665,0.5936766666666667,0.5472956770833334
14,Governance,Board,0.2,0.0022112573099415203,0.6004166666666667,0.007966054459064327
15,Governance,Business Ethics,0.13333333333333333,0.0038742690058479533,0.688975,0.010677097953216374
16,Governance,Ownership and Control,0.8,0.0067342836257309946,0.5943291666666667,0.09605714820906433
17,Governance,Pay,1.0,0.013020833333333334,0.6691266666666666,0.26137760416666667
18,Governance,Tax Transparency,0.3,0.0038742690058479533,0.6057222222222223,0.02112057748538012
19,Social,Access to Communications,0.3333333333333333,0.0007492690058479532,0.61616,0.004616695906432748
20,Social,Access to Finance,0.5333333333333333,0.02425986842105263,0.586875,0.2278001644736842
21,Social,Access to Health Care,0.1,0.0005025584795321637,0.5826333333333333,0.0008784219663742689
22,Social,Chemical Safety,0.1,8.223684210526316e-05,0.6408666666666666,0.0001581085526315789
23,Social,Community Relations,0.36666666666666664,0.002412280701754386,0.5607,0.014878223684210526
24,Social,Controversial Sourcing,0.0,0.0,0.0,0.0
25,Social,Financial Product Safety,0.06666666666666667,0.00013706140350877192,0.51105,0.00014009046052631578
26,Social,Health and Demographic Risk,0.1,0.008799342105263157,0.6092333333333334,0.016082557565789475
27,Social,Health and Safety,0.3,0.009548611111111112,0.5889111111111112,0.05060954861111112
28,Social,Human Capital Development,0.03333333333333333,0.005281432748538012,0.5586,0.0029502083333333333
29,Social,Labor Management,0.7333333333333333,0.015195540935672514,0.5785727272727272,0.19341796235380115
30,Social,Opportunities in Nutrition and Health,0.03333333333333333,3.654970760233918e-05,0.5259,1.9221491228070178e-05
31,Social,Privacy and Data Security,0.2,0.0030610380116959063,0.5911833333333333,0.010857807931286547
32,Social,Product Safety and Quality,0.2,0.0022934941520467837,0.5437833333333333,0.00748298336988304
33,Social,Responsible Investment,0.6,0.021829312865497077,0.5704944444444444,0.2241630308845029
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0006030701754385965,0.50705,0.0006115734649122808
