,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.1,0.00032920876376433194,0.5216333333333333,0.000515178794414803
1,Environment,Carbon Emissions,0.16666666666666666,0.0007605857645589738,0.6441,0.002449466454762175
2,Environment,Climate Change Vulnerability,0.03333333333333333,4.54081053468044e-05,0.6238,2.8325576115336587e-05
3,Environment,Electronic Waste,0.23333333333333334,0.00037461686911113634,0.5857428571428571,0.0015360040867294813
4,Environment,Financing Environmental Impact,0.1,0.0019752525825859914,0.5695666666666667,0.003375114087864683
5,Environment,Opportunities in Clean Tech,0.06666666666666667,0.0002610966057441253,0.5396,0.00028177545691906005
6,Environment,Opportunities in Green Building,0.06666666666666667,3.4056079010103304e-05,0.5297000000000001,3.6079010103303446e-05
7,Environment,Opportunities in Renewable Energy,0.0,0.0,0.0,0.0
8,Environment,Packaging Material and Waste,0.1,0.00043137700079464185,0.5344,0.0006915836076739698
9,Environment,Product Carbon Footprint,0.1,9.08162106936088e-05,0.5642,0.00015371551822000227
10,Environment,Raw Material Sourcing,0.1,0.00022704052673402204,0.5665333333333333,0.00038587807923714385
11,Environment,Toxic Emissions and Waste,0.3,0.0009195141332727891,0.604488888888889,0.005002524690657283
12,Environment,Water Stress,0.03333333333333333,0.00013622431604041322,0.5542,7.5495515949597e-05
13,Governance,Accounting,1.0,0.02722215915540924,0.58974,0.48161988420933133
14,Governance,Board,0.23333333333333334,0.0008059938699057781,0.6517714285714286,0.003677266432058122
15,Governance,Business Ethics,0.1,0.004495402429333636,0.7205,0.009716812351004656
16,Governance,Ownership and Control,0.6333333333333333,0.008059938699057781,0.5810842105263158,0.08898655920081734
17,Governance,Pay,1.0,0.018083777954364853,0.6609866666666666,0.35859408332387327
18,Governance,Tax Transparency,0.23333333333333334,0.005834941537064366,0.6081142857142857,0.02483817913497559
19,Social,Access to Communications,0.3,0.0005448972641616529,0.5929444444444445,0.002907844250198661
20,Social,Access to Finance,0.36666666666666664,0.006981496197071177,0.5957090909090909,0.04574834828016801
21,Social,Access to Health Care,0.06666666666666667,0.00037461686911113634,0.5209999999999999,0.000390350777613804
22,Social,Chemical Safety,0.16666666666666666,0.00044272902713134296,0.5966,0.001320660687932796
23,Social,Community Relations,0.4,0.0027925984788284707,0.5706416666666666,0.01912287660347372
24,Social,Controversial Sourcing,0.03333333333333333,1.13520263367011e-05,0.7556,8.577591100011353e-06
25,Social,Financial Product Safety,0.03333333333333333,0.00028380065841752754,0.5189,0.00014726416165285506
26,Social,Health and Demographic Risk,0.16666666666666666,0.0025201498467476444,0.5777,0.007279452832330571
27,Social,Health and Safety,0.3333333333333333,0.0033261437166534225,0.58559,0.019477564990350776
28,Social,Human Capital Development,0.03333333333333333,0.000783289817232376,0.5586,0.0004375456919060052
29,Social,Labor Management,0.7333333333333333,0.0092746055170848,0.5950681818181818,0.12141849812691566
30,Social,Opportunities in Nutrition and Health,0.0,0.0,0.0,0.0
31,Social,Privacy and Data Security,0.2,0.0032012714269497107,0.6080166666666666,0.011678558292655239
32,Social,Product Safety and Quality,0.16666666666666666,0.003258031558633216,0.54016,0.00879929163355659
33,Social,Responsible Investment,0.5333333333333333,0.008741060279259848,0.57841875,0.08089589056646611
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0009308661596094903,0.50705,0.0009439913724599841
