,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.06666666666666667,0.0002501678758113998,0.51845,0.00025939907042884044
1,Environment,Carbon Emissions,0.16666666666666666,0.0005135024819286627,0.6644599999999999,0.001706009295711596
2,Environment,Climate Change Vulnerability,0.03333333333333333,7.900038183517887e-05,0.6238,4.928043818878458e-05
3,Environment,Electronic Waste,0.16666666666666666,0.00036866844856416807,0.5848,0.0010779865436016274
4,Environment,Financing Environmental Impact,0.1,0.0005135024819286627,0.5695666666666667,0.0008774216908715058
5,Environment,Opportunities in Clean Tech,0.06666666666666667,0.0001448340333644946,0.5396,0.00015630488880696256
6,Environment,Opportunities in Green Building,0.1,0.00021066768489381033,0.5302333333333333,0.0003351090863605841
7,Environment,Opportunities in Renewable Energy,0.0,0.0,0.0,0.0
8,Environment,Packaging Material and Waste,0.06666666666666667,0.00021066768489381033,0.5325,0.00022436108441190798
9,Environment,Product Carbon Footprint,0.06666666666666667,0.00017116749397622089,0.52925,0.0001811807923738298
10,Environment,Raw Material Sourcing,0.03333333333333333,2.633346061172629e-05,0.5021,1.3222030573147771e-05
11,Environment,Toxic Emissions and Waste,0.16666666666666666,0.000539835942540389,0.63222,0.0017064753979644236
12,Environment,Water Stress,0.03333333333333333,2.633346061172629e-05,0.5542,1.4594003871018712e-05
13,Governance,Accounting,1.0,0.024345284335540954,0.59401,0.43384027044464046
14,Governance,Board,0.13333333333333333,0.0010270049638573253,0.636775,0.0026158843434409933
15,Governance,Business Ethics,0.06666666666666667,0.0029230141279016184,0.5865,0.0034286955720285984
16,Governance,Ownership and Control,0.8666666666666667,0.007926371644129614,0.5985115384615385,0.12334464706579416
17,Governance,Pay,1.0,0.016892914982422416,0.6782233333333333,0.34371507327285417
18,Governance,Tax Transparency,0.23333333333333334,0.00606986267100291,0.6168571428571428,0.026209667013390562
19,Social,Access to Communications,0.3,0.0013956734124214933,0.6226444444444444,0.007821074668527564
20,Social,Access to Finance,0.36666666666666664,0.007544536465259582,0.6029363636363636,0.05003762919854112
21,Social,Access to Health Care,0.1,0.0016853414791504827,0.5826333333333333,0.002945808371407129
22,Social,Chemical Safety,0.06666666666666667,0.0002896680667289892,0.64195,0.00037190483087334923
23,Social,Community Relations,0.36666666666666664,0.0025016787581139976,0.5595454545454546,0.015397832756191656
24,Social,Controversial Sourcing,0.0,0.0,0.0,0.0
25,Social,Financial Product Safety,0.06666666666666667,0.0002370011455055366,0.51105,0.00024223887082120896
26,Social,Health and Demographic Risk,0.2,0.0032258489249364706,0.5698166666666666,0.0110288548894653
27,Social,Health and Safety,0.3333333333333333,0.004094853125123438,0.58281,0.023865213498531913
28,Social,Human Capital Development,0.03333333333333333,0.0011191720759983674,0.5586,0.000625169521652688
29,Social,Labor Management,0.7333333333333333,0.014364902763696692,0.5974590909090909,0.18881371841630568
30,Social,Opportunities in Nutrition and Health,0.03333333333333333,2.633346061172629e-05,0.5259,1.3848766935706857e-05
31,Social,Privacy and Data Security,0.2,0.0015800076367035775,0.5911833333333333,0.005604445088151258
32,Social,Product Safety and Quality,0.16666666666666666,0.0011981724578335462,0.54016,0.0032360241741168417
33,Social,Responsible Investment,0.43333333333333335,0.012310892835982041,0.5797923076923077,0.09279089257264744
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0004740022910110732,0.50705,0.00048068572331432934
