,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.03333333333333333,0.00043682573300681714,0.5145,0.0002247468396320074
1,Environment,Carbon Emissions,0.03333333333333333,6.618571712224501e-05,0.5245,3.471440863061751e-05
2,Environment,Climate Change Vulnerability,0.06666666666666667,6.618571712224501e-05,0.5860000000000001,7.756966046727117e-05
3,Environment,Electronic Waste,0.1,0.00043682573300681714,0.6194333333333333,0.0008117532596465683
4,Environment,Financing Environmental Impact,0.13333333333333333,0.0005824343106757561,0.5849,0.001362663313256999
5,Environment,Opportunities in Clean Tech,0.06666666666666667,0.00014560857766893903,0.5396,0.000157140777020319
6,Environment,Opportunities in Green Building,0.06666666666666667,6.618571712224501e-05,0.5353,7.085842875107551e-05
7,Environment,Opportunities in Renewable Energy,0.0,0.0,0.0,0.0
8,Environment,Packaging Material and Waste,0.13333333333333333,0.00019855715136673507,0.572675,0.00045483486663578006
9,Environment,Product Carbon Footprint,0.0,0.0,0.0,0.0
10,Environment,Raw Material Sourcing,0.06666666666666667,0.0003176914421867761,0.59875,0.0003804355020186644
11,Environment,Toxic Emissions and Waste,0.1,0.00010589714739559203,0.5605,0.000178066053345688
12,Environment,Water Stress,0.0,0.0,0.0,0.0
13,Governance,Accounting,1.0,0.02777152690449401,0.5821133333333334,0.48498528294394067
14,Governance,Board,0.23333333333333334,0.0013104771990204514,0.5851571428571428,0.005367845654907671
15,Governance,Business Ethics,0.13333333333333333,0.003759348732543517,0.673225,0.010123550201866437
16,Governance,Ownership and Control,0.8,0.008154080349460587,0.5891666666666667,0.1152986961413727
17,Governance,Pay,1.0,0.013488649149513535,0.6586633333333333,0.2665343583294725
18,Governance,Tax Transparency,0.23333333333333334,0.005122774505261765,0.6160571428571429,0.022091452776490834
19,Social,Access to Communications,0.3333333333333333,0.0010192600436825733,0.6131800000000001,0.006249898735852803
20,Social,Access to Finance,0.43333333333333335,0.008762988946985241,0.5986076923076923,0.06819270368654444
21,Social,Access to Health Care,0.2,0.004182937322125885,0.5746166666666667,0.014421513005493415
22,Social,Chemical Safety,0.16666666666666666,0.00029121715533787806,0.62474,0.0009096750281289297
23,Social,Community Relations,0.43333333333333335,0.0027268515454364948,0.5687076923076924,0.020160158845721095
24,Social,Controversial Sourcing,0.03333333333333333,0.00013237143424449003,0.7556,0.00010001985571513667
25,Social,Financial Product Safety,0.03333333333333333,0.00019855715136673507,0.5189,0.00010303130584419883
26,Social,Health and Demographic Risk,0.2,0.005083063074988418,0.5698166666666666,0.0173784843470779
27,Social,Health and Safety,0.3333333333333333,0.0066450459990734,0.5745899999999999,0.03818176980607584
28,Social,Human Capital Development,0.06666666666666667,0.0009398371831358793,0.5322,0.00100036269772983
29,Social,Labor Management,0.7,0.008074657488913893,0.6017761904761905,0.10204186908465153
30,Social,Opportunities in Nutrition and Health,0.06666666666666667,0.00014560857766893903,0.61075,0.00017786087762260903
31,Social,Privacy and Data Security,0.16666666666666666,0.0017473029320272686,0.6065400000000001,0.005299045601959098
32,Social,Product Safety and Quality,0.16666666666666666,0.0022370772387318816,0.54016,0.006041898206367066
33,Social,Responsible Investment,0.5333333333333333,0.014971209213051824,0.57651875,0.13809892514395392
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0005427228804024091,0.50705,0.0005503752730160831
