,2020-3M-Sustainability,2020-3M-10K,2020-3M-Annual,max
Biodiversity and Land Use,304,7,17,304
Carbon Emissions,1,0,0,1
Climate Change Vulnerability,0,0,0,0
Electronic Waste,3,18,21,21
Financing Environmental Impact,1,35,37,37
Opportunities in Clean Tech,1,2,3,3
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,12,0,0,12
Packaging Material and Waste,235,17,19,235
Product Carbon Footprint,2,0,0,2
Raw Material Sourcing,11,18,21,21
Toxic Emissions and Waste,10,25,27,27
Water Stress,153,9,22,153
Accounting,0,13,13,13
Board,0,7,5,7
Business Ethics,156,20,18,156
Ownership and Control,0,23,23,23
Pay,0,1,1,1
Tax Transparency,0,25,27,27
Access to Communications,0,6,5,6
Access to Finance,0,32,30,32
Access to Health Care,0,1,1,1
Chemical Safety,0,51,57,57
Community Relations,198,41,34,198
Controversial Sourcing,0,4,9,9
Financial Product Safety,0,8,8,8
Health and Demographic Risk,0,6,6,6
Health and Safety,150,22,28,150
Human Capital Development,227,46,38,227
Labor Management,183,102,86,183
Opportunities in Nutrition and Health,3,27,37,37
Privacy and Data Security,47,23,13,47
Product Safety and Quality,145,17,20,145
Responsible Investment,0,10,10,10
Supply Chain Labor Standards,162,37,33,162
Not ESG,262,443,342,443
