,2020-ABB-Annual,2020-ABB-Sustainability,max
Biodiversity and Land Use,49,14,49
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,5,0,5
Financing Environmental Impact,17,0,17
Opportunities in Clean Tech,3,0,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,0,4
Packaging Material and Waste,56,1,56
Product Carbon Footprint,0,0,0
Raw Material Sourcing,4,0,4
Toxic Emissions and Waste,0,0,0
Water Stress,66,4,66
Accounting,0,0,0
Board,1,0,1
Business Ethics,45,1,45
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,4,0,4
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,2,0,2
Community Relations,113,0,113
Controversial Sourcing,1,0,1
Financial Product Safety,3,0,3
Health and Demographic Risk,0,0,0
Health and Safety,47,2,47
Human Capital Development,81,0,81
Labor Management,254,1,254
Opportunities in Nutrition and Health,3,0,3
Privacy and Data Security,43,0,43
Product Safety and Quality,152,0,152
Responsible Investment,1,0,1
Supply Chain Labor Standards,129,0,129
Not ESG,2274,8,2274
