,2020-ABBOTT LABORATORIES-Annual,2020-ABBOTT LABORATORIES-Sustainability,max
Biodiversity and Land Use,8,221,221
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,6,6
Financing Environmental Impact,3,0,3
Opportunities in Clean Tech,1,7,7
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,11,131,131
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,4,4
Toxic Emissions and Waste,0,3,3
Water Stress,4,118,118
Accounting,1,0,1
Board,0,0,0
Business Ethics,26,143,143
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,5,0,5
Access to Communications,0,1,1
Access to Finance,3,0,3
Access to Health Care,2,2,2
Chemical Safety,0,1,1
Community Relations,52,210,210
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,2,0,2
Health and Safety,172,323,323
Human Capital Development,46,148,148
Labor Management,41,83,83
Opportunities in Nutrition and Health,6,10,10
Privacy and Data Security,6,71,71
Product Safety and Quality,62,151,151
Responsible Investment,0,0,0
Supply Chain Labor Standards,36,185,185
Not ESG,547,108,547
