,2020-ABBVIE-ESG,2020-ABBVIE-Annual,max
Biodiversity and Land Use,41,36,41
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,23,23
Financing Environmental Impact,0,13,13
Opportunities in Clean Tech,0,6,6
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,22,44,44
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,13,13
Toxic Emissions and Waste,0,0,0
Water Stress,26,16,26
Accounting,0,4,4
Board,0,5,5
Business Ethics,40,129,129
Ownership and Control,0,4,4
Pay,0,0,0
Tax Transparency,0,11,11
Access to Communications,0,1,1
Access to Finance,0,9,9
Access to Health Care,0,0,0
Chemical Safety,0,2,2
Community Relations,148,157,157
Controversial Sourcing,0,1,1
Financial Product Safety,0,3,3
Health and Demographic Risk,0,8,8
Health and Safety,166,271,271
Human Capital Development,135,322,322
Labor Management,64,205,205
Opportunities in Nutrition and Health,3,24,24
Privacy and Data Security,10,50,50
Product Safety and Quality,37,186,186
Responsible Investment,0,1,1
Supply Chain Labor Standards,36,154,154
Not ESG,34,1744,1744
