,2020-AEON-ESG,max
Biodiversity and Land Use,74,74
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,8,8
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,31,31
Product Carbon Footprint,1,1
Raw Material Sourcing,20,20
Toxic Emissions and Waste,2,2
Water Stress,35,35
Accounting,0,0
Board,0,0
Business Ethics,64,64
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,79,79
Controversial Sourcing,0,0
Financial Product Safety,2,2
Health and Demographic Risk,1,1
Health and Safety,50,50
Human Capital Development,31,31
Labor Management,244,244
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,28,28
Product Safety and Quality,43,43
Responsible Investment,1,1
Supply Chain Labor Standards,37,37
Not ESG,134,134
