,2020-AGRICULTURAL BANK OF CHINA-Annual,max
Biodiversity and Land Use,30,30
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,7,7
Financing Environmental Impact,40,40
Opportunities in Clean Tech,4,4
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,13,13
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,13,13
Accounting,9,9
Board,0,0
Business Ethics,94,94
Ownership and Control,4,4
Pay,0,0
Tax Transparency,6,6
Access to Communications,0,0
Access to Finance,10,10
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,155,155
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,2,2
Health and Safety,89,89
Human Capital Development,42,42
Labor Management,359,359
Opportunities in Nutrition and Health,11,11
Privacy and Data Security,84,84
Product Safety and Quality,148,148
Responsible Investment,3,3
Supply Chain Labor Standards,88,88
Not ESG,2058,2058
