,2020-AIA GROUP-Annual,2020-AIA GROUP-ESG,max
Biodiversity and Land Use,29,139,139
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,3,0,3
Financing Environmental Impact,11,1,11
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,6,30,30
Product Carbon Footprint,0,2,2
Raw Material Sourcing,1,0,1
Toxic Emissions and Waste,0,0,0
Water Stress,11,44,44
Accounting,2,0,2
Board,0,0,0
Business Ethics,72,78,78
Ownership and Control,4,0,4
Pay,0,0,0
Tax Transparency,3,0,3
Access to Communications,0,0,0
Access to Finance,3,0,3
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,120,129,129
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,2,1,2
Health and Safety,133,162,162
Human Capital Development,100,79,100
Labor Management,272,90,272
Opportunities in Nutrition and Health,8,0,8
Privacy and Data Security,70,55,70
Product Safety and Quality,99,55,99
Responsible Investment,0,0,0
Supply Chain Labor Standards,99,63,99
Not ESG,2225,124,2225
