,2020-AIRBUS-Annual,max
Biodiversity and Land Use,179,179
Carbon Emissions,2,2
Climate Change Vulnerability,0,0
Electronic Waste,12,12
Financing Environmental Impact,12,12
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,109,109
Product Carbon Footprint,2,2
Raw Material Sourcing,6,6
Toxic Emissions and Waste,0,0
Water Stress,45,45
Accounting,1,1
Board,1,1
Business Ethics,145,145
Ownership and Control,3,3
Pay,0,0
Tax Transparency,5,5
Access to Communications,0,0
Access to Finance,2,2
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,141,141
Controversial Sourcing,3,3
Financial Product Safety,5,5
Health and Demographic Risk,1,1
Health and Safety,178,178
Human Capital Development,84,84
Labor Management,428,428
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,118,118
Product Safety and Quality,356,356
Responsible Investment,0,0
Supply Chain Labor Standards,273,273
Not ESG,3077,3077
