,2020-ALIBABA GROUP HOLDING-Annual,max
Biodiversity and Land Use,28,28
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,10,10
Financing Environmental Impact,10,10
Opportunities in Clean Tech,4,4
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,27,27
Product Carbon Footprint,0,0
Raw Material Sourcing,13,13
Toxic Emissions and Waste,0,0
Water Stress,12,12
Accounting,2,2
Board,0,0
Business Ethics,145,145
Ownership and Control,13,13
Pay,0,0
Tax Transparency,26,26
Access to Communications,13,13
Access to Finance,3,3
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,201,201
Controversial Sourcing,2,2
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,56,56
Human Capital Development,62,62
Labor Management,305,305
Opportunities in Nutrition and Health,4,4
Privacy and Data Security,477,477
Product Safety and Quality,139,139
Responsible Investment,4,4
Supply Chain Labor Standards,358,358
Not ESG,2703,2703
