,2020-ALLIANZ-Annual,2020-ALLIANZ-Sustainability,max
Biodiversity and Land Use,23,528,528
Carbon Emissions,0,2,2
Climate Change Vulnerability,0,2,2
Electronic Waste,18,2,18
Financing Environmental Impact,31,2,31
Opportunities in Clean Tech,4,3,4
Opportunities in Green Building,1,1,1
Opportunities in Renewable Energy,1,17,17
Packaging Material and Waste,4,70,70
Product Carbon Footprint,0,2,2
Raw Material Sourcing,4,0,4
Toxic Emissions and Waste,0,3,3
Water Stress,21,158,158
Accounting,2,0,2
Board,0,0,0
Business Ethics,35,111,111
Ownership and Control,14,0,14
Pay,0,0,0
Tax Transparency,5,1,5
Access to Communications,0,0,0
Access to Finance,4,0,4
Access to Health Care,0,0,0
Chemical Safety,9,0,9
Community Relations,18,194,194
Controversial Sourcing,1,0,1
Financial Product Safety,9,0,9
Health and Demographic Risk,4,5,5
Health and Safety,79,120,120
Human Capital Development,26,111,111
Labor Management,171,203,203
Opportunities in Nutrition and Health,2,6,6
Privacy and Data Security,29,138,138
Product Safety and Quality,73,106,106
Responsible Investment,8,1,8
Supply Chain Labor Standards,19,166,166
Not ESG,1118,446,1118
