,2020-ALPHABET-10K,2020-ALPHABET-Sustainability,max
Biodiversity and Land Use,12,175,175
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,0,1,1
Financing Environmental Impact,8,0,8
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,45,45
Packaging Material and Waste,9,104,104
Product Carbon Footprint,0,9,9
Raw Material Sourcing,2,1,2
Toxic Emissions and Waste,0,4,4
Water Stress,10,184,184
Accounting,1,0,1
Board,1,0,1
Business Ethics,107,6,107
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,127,0,127
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,61,26,61
Controversial Sourcing,0,0,0
Financial Product Safety,2,0,2
Health and Demographic Risk,0,0,0
Health and Safety,18,2,18
Human Capital Development,34,5,34
Labor Management,58,16,58
Opportunities in Nutrition and Health,2,1,2
Privacy and Data Security,207,33,207
Product Safety and Quality,60,14,60
Responsible Investment,0,0,0
Supply Chain Labor Standards,130,24,130
Not ESG,748,123,748
