,2020-AMAZON-Annual,2020-AMAZON-10K,max
Biodiversity and Land Use,14,14,14
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,1,1
Packaging Material and Waste,3,3,3
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,12,12,12
Accounting,0,0,0
Board,0,0,0
Business Ethics,5,5,5
Ownership and Control,1,1,1
Pay,0,0,0
Tax Transparency,0,0,0
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,17,17,17
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,9,9,9
Human Capital Development,18,18,18
Labor Management,54,54,54
Opportunities in Nutrition and Health,0,0,0
Privacy and Data Security,6,6,6
Product Safety and Quality,9,9,9
Responsible Investment,0,0,0
Supply Chain Labor Standards,39,39,39
Not ESG,56,56,56
