,2020-AMERICAN EXPRESS-ESG,2020-AMERICAN EXPRESS-10K,2020-AMERICAN EXPRESS-Annual,max
Biodiversity and Land Use,80,17,21,80
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,1,5,5,5
Financing Environmental Impact,0,5,6,6
Opportunities in Clean Tech,1,0,0,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,0,0,1
Packaging Material and Waste,32,5,4,32
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,0,0,1,1
Toxic Emissions and Waste,0,0,0,0
Water Stress,35,3,3,35
Accounting,0,0,3,3
Board,0,5,3,5
Business Ethics,74,120,118,120
Ownership and Control,0,0,0,0
Pay,0,0,1,1
Tax Transparency,2,9,13,13
Access to Communications,1,2,3,3
Access to Finance,1,1,5,5
Access to Health Care,0,0,0,0
Chemical Safety,0,1,1,1
Community Relations,164,121,136,164
Controversial Sourcing,0,0,0,0
Financial Product Safety,0,4,3,4
Health and Demographic Risk,0,1,1,1
Health and Safety,33,42,44,44
Human Capital Development,130,86,93,130
Labor Management,80,80,108,108
Opportunities in Nutrition and Health,6,19,14,19
Privacy and Data Security,51,157,149,157
Product Safety and Quality,17,66,68,68
Responsible Investment,0,2,1,2
Supply Chain Labor Standards,52,108,107,108
Not ESG,96,1500,1488,1500
