,2020-AMERICAN INTERNATIONAL GROUP-Annual,2020-AMERICAN INTERNATIONAL GROUP-10K,max
Biodiversity and Land Use,68,60,68
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,5,3,5
Financing Environmental Impact,29,23,29
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,10,12,12
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,1,1
Toxic Emissions and Waste,2,0,2
Water Stress,21,21,21
Accounting,6,6,6
Board,6,5,6
Business Ethics,166,184,184
Ownership and Control,3,3,3
Pay,0,0,0
Tax Transparency,24,22,24
Access to Communications,5,1,5
Access to Finance,11,7,11
Access to Health Care,0,0,0
Chemical Safety,1,1,1
Community Relations,256,252,256
Controversial Sourcing,1,1,1
Financial Product Safety,1,0,1
Health and Demographic Risk,6,3,6
Health and Safety,235,228,235
Human Capital Development,153,145,153
Labor Management,212,175,212
Opportunities in Nutrition and Health,13,15,15
Privacy and Data Security,147,142,147
Product Safety and Quality,181,190,190
Responsible Investment,2,3,3
Supply Chain Labor Standards,223,224,224
Not ESG,3235,3295,3295
