,2020-ANGLO AMERICAN-Sustainability,max
Biodiversity and Land Use,412,412
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,120,120
Product Carbon Footprint,1,1
Raw Material Sourcing,3,3
Toxic Emissions and Waste,3,3
Water Stress,277,277
Accounting,1,1
Board,0,0
Business Ethics,114,114
Ownership and Control,0,0
Pay,0,0
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,327,327
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,244,244
Human Capital Development,112,112
Labor Management,129,129
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,41,41
Product Safety and Quality,91,91
Responsible Investment,0,0
Supply Chain Labor Standards,158,158
Not ESG,323,323
