,2020-ANHEUSER BUSCH INBEV-ESG,2020-ANHEUSER BUSCH INBEV-Annual,max
Biodiversity and Land Use,163,120,163
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,7,7
Financing Environmental Impact,1,11,11
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,101,121,121
Product Carbon Footprint,1,0,1
Raw Material Sourcing,4,11,11
Toxic Emissions and Waste,2,0,2
Water Stress,116,66,116
Accounting,0,0,0
Board,0,0,0
Business Ethics,50,80,80
Ownership and Control,0,7,7
Pay,0,0,0
Tax Transparency,1,4,4
Access to Communications,0,0,0
Access to Finance,0,2,2
Access to Health Care,0,0,0
Chemical Safety,1,7,7
Community Relations,175,161,175
Controversial Sourcing,0,2,2
Financial Product Safety,0,6,6
Health and Demographic Risk,0,2,2
Health and Safety,84,90,90
Human Capital Development,53,101,101
Labor Management,87,312,312
Opportunities in Nutrition and Health,2,8,8
Privacy and Data Security,21,57,57
Product Safety and Quality,43,97,97
Responsible Investment,0,0,0
Supply Chain Labor Standards,116,308,308
Not ESG,84,1839,1839
