,2020-ANHUI CONCH GROUP-CSR,2020-ANHUI CONCH GROUP-Annual,max
Biodiversity and Land Use,83,47,83
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,3,3
Financing Environmental Impact,0,1,1
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,87,93,93
Product Carbon Footprint,0,0,0
Raw Material Sourcing,7,13,13
Toxic Emissions and Waste,1,34,34
Water Stress,40,26,40
Accounting,0,1,1
Board,0,0,0
Business Ethics,12,33,33
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,4,4
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,15,15
Community Relations,20,41,41
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,1,1
Health and Safety,39,22,39
Human Capital Development,9,12,12
Labor Management,114,179,179
Opportunities in Nutrition and Health,0,1,1
Privacy and Data Security,8,11,11
Product Safety and Quality,47,35,47
Responsible Investment,0,1,1
Supply Chain Labor Standards,26,26,26
Not ESG,106,1032,1032
