,2020-ANTHEM-10K,max
Biodiversity and Land Use,11,11
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,8,8
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,11,11
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,3,3
Accounting,4,4
Board,6,6
Business Ethics,262,262
Ownership and Control,11,11
Pay,0,0
Tax Transparency,4,4
Access to Communications,10,10
Access to Finance,7,7
Access to Health Care,3,3
Chemical Safety,6,6
Community Relations,404,404
Controversial Sourcing,6,6
Financial Product Safety,1,1
Health and Demographic Risk,4,4
Health and Safety,420,420
Human Capital Development,295,295
Labor Management,126,126
Opportunities in Nutrition and Health,19,19
Privacy and Data Security,169,169
Product Safety and Quality,130,130
Responsible Investment,1,1
Supply Chain Labor Standards,179,179
Not ESG,1998,1998
