,2020-APPLE-10K,2020-APPLE-ESG,max
Biodiversity and Land Use,4,264,264
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,3,1,3
Financing Environmental Impact,5,0,5
Opportunities in Clean Tech,2,3,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,29,29
Packaging Material and Waste,16,370,370
Product Carbon Footprint,0,4,4
Raw Material Sourcing,1,3,3
Toxic Emissions and Waste,0,3,3
Water Stress,0,263,263
Accounting,6,0,6
Board,1,0,1
Business Ethics,51,13,51
Ownership and Control,5,0,5
Pay,0,0,0
Tax Transparency,12,0,12
Access to Communications,2,0,2
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,2,1,2
Community Relations,35,23,35
Controversial Sourcing,0,0,0
Financial Product Safety,2,0,2
Health and Demographic Risk,1,0,1
Health and Safety,37,18,37
Human Capital Development,19,2,19
Labor Management,68,10,68
Opportunities in Nutrition and Health,2,44,44
Privacy and Data Security,85,22,85
Product Safety and Quality,80,70,80
Responsible Investment,1,0,1
Supply Chain Labor Standards,132,50,132
Not ESG,681,143,681
