,2020-ARROW ELECTRONICS-10K,2020-ARROW ELECTRONICS-CSR-10K,max
Biodiversity and Land Use,19,8,19
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,2,2
Financing Environmental Impact,6,0,6
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,15,2,15
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,1,1
Water Stress,8,1,8
Accounting,4,0,4
Board,0,0,0
Business Ethics,46,2,46
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,7,0,7
Access to Communications,0,0,0
Access to Finance,5,0,5
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,51,8,51
Controversial Sourcing,1,0,1
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,16,8,16
Human Capital Development,57,4,57
Labor Management,85,9,85
Opportunities in Nutrition and Health,2,0,2
Privacy and Data Security,51,0,51
Product Safety and Quality,43,4,43
Responsible Investment,0,0,0
Supply Chain Labor Standards,109,6,109
Not ESG,654,14,654
