,2020-ASML-Annual,max
Biodiversity and Land Use,120,120
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,7,7
Financing Environmental Impact,9,9
Opportunities in Clean Tech,1,1
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,165,165
Product Carbon Footprint,1,1
Raw Material Sourcing,6,6
Toxic Emissions and Waste,0,0
Water Stress,79,79
Accounting,4,4
Board,1,1
Business Ethics,162,162
Ownership and Control,4,4
Pay,0,0
Tax Transparency,14,14
Access to Communications,0,0
Access to Finance,2,2
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,176,176
Controversial Sourcing,2,2
Financial Product Safety,2,2
Health and Demographic Risk,2,2
Health and Safety,131,131
Human Capital Development,136,136
Labor Management,344,344
Opportunities in Nutrition and Health,6,6
Privacy and Data Security,142,142
Product Safety and Quality,283,283
Responsible Investment,1,1
Supply Chain Labor Standards,237,237
Not ESG,2402,2402
