,2020-ASSICURAZIONI GENERALI-Annual,max
Biodiversity and Land Use,143,143
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,51,51
Financing Environmental Impact,63,63
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,9,9
Packaging Material and Waste,12,12
Product Carbon Footprint,2,2
Raw Material Sourcing,13,13
Toxic Emissions and Waste,1,1
Water Stress,45,45
Accounting,7,7
Board,0,0
Business Ethics,54,54
Ownership and Control,22,22
Pay,0,0
Tax Transparency,12,12
Access to Communications,1,1
Access to Finance,5,5
Access to Health Care,1,1
Chemical Safety,2,2
Community Relations,114,114
Controversial Sourcing,4,4
Financial Product Safety,5,5
Health and Demographic Risk,8,8
Health and Safety,191,191
Human Capital Development,75,75
Labor Management,610,610
Opportunities in Nutrition and Health,16,16
Privacy and Data Security,91,91
Product Safety and Quality,191,191
Responsible Investment,1,1
Supply Chain Labor Standards,136,136
Not ESG,2225,2225
