,2020-AT_T-10K,2020-AT_T-CSR,max
Biodiversity and Land Use,1,33,33
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,7,0,7
Financing Environmental Impact,22,0,22
Opportunities in Clean Tech,10,0,10
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,6,3,6
Packaging Material and Waste,0,8,8
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,1,1
Water Stress,5,21,21
Accounting,16,0,16
Board,37,0,37
Business Ethics,42,39,42
Ownership and Control,15,0,15
Pay,4,0,4
Tax Transparency,25,0,25
Access to Communications,58,1,58
Access to Finance,39,0,39
Access to Health Care,2,0,2
Chemical Safety,3,0,3
Community Relations,58,87,87
Controversial Sourcing,3,0,3
Financial Product Safety,10,0,10
Health and Demographic Risk,20,0,20
Health and Safety,20,19,20
Human Capital Development,103,62,103
Labor Management,81,18,81
Opportunities in Nutrition and Health,64,1,64
Privacy and Data Security,58,73,73
Product Safety and Quality,1,7,7
Responsible Investment,17,0,17
Supply Chain Labor Standards,17,23,23
Not ESG,437,49,437
