,2020-AUSTRALIA _ NEW ZEALAND BANKING GROUP-Annual,max
Biodiversity and Land Use,79,79
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,6,6
Financing Environmental Impact,38,38
Opportunities in Clean Tech,10,10
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,17,17
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,15,15
Accounting,0,0
Board,0,0
Business Ethics,138,138
Ownership and Control,9,9
Pay,0,0
Tax Transparency,9,9
Access to Communications,0,0
Access to Finance,7,7
Access to Health Care,0,0
Chemical Safety,4,4
Community Relations,278,278
Controversial Sourcing,3,3
Financial Product Safety,6,6
Health and Demographic Risk,4,4
Health and Safety,100,100
Human Capital Development,144,144
Labor Management,270,270
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,75,75
Product Safety and Quality,76,76
Responsible Investment,2,2
Supply Chain Labor Standards,146,146
Not ESG,2185,2185
