,2020-AXA-Annual,max
Biodiversity and Land Use,214,214
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,8,8
Financing Environmental Impact,54,54
Opportunities in Clean Tech,3,3
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,8,8
Packaging Material and Waste,48,48
Product Carbon Footprint,2,2
Raw Material Sourcing,3,3
Toxic Emissions and Waste,4,4
Water Stress,62,62
Accounting,4,4
Board,0,0
Business Ethics,175,175
Ownership and Control,8,8
Pay,0,0
Tax Transparency,13,13
Access to Communications,1,1
Access to Finance,10,10
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,251,251
Controversial Sourcing,1,1
Financial Product Safety,6,6
Health and Demographic Risk,4,4
Health and Safety,270,270
Human Capital Development,142,142
Labor Management,545,545
Opportunities in Nutrition and Health,12,12
Privacy and Data Security,167,167
Product Safety and Quality,244,244
Responsible Investment,1,1
Supply Chain Labor Standards,238,238
Not ESG,3352,3352
