,2020-Applied-Annual,2020-Applied-Sustainability,2020-Applied-10K,max
Biodiversity and Land Use,4,44,61,61
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,22,0,2,22
Financing Environmental Impact,13,0,19,19
Opportunities in Clean Tech,2,2,1,2
Opportunities in Green Building,0,1,0,1
Opportunities in Renewable Energy,4,4,0,4
Packaging Material and Waste,3,104,50,104
Product Carbon Footprint,1,0,0,1
Raw Material Sourcing,30,2,13,30
Toxic Emissions and Waste,1,2,7,7
Water Stress,3,60,44,60
Accounting,8,0,4,8
Board,3,0,1,3
Business Ethics,22,33,35,35
Ownership and Control,11,0,4,11
Pay,2,0,0,2
Tax Transparency,13,0,106,106
Access to Communications,3,0,1,3
Access to Finance,19,0,8,19
Access to Health Care,1,0,0,1
Chemical Safety,1,0,1,1
Community Relations,17,58,26,58
Controversial Sourcing,1,0,2,2
Financial Product Safety,8,0,2,8
Health and Demographic Risk,3,0,0,3
Health and Safety,12,38,13,38
Human Capital Development,21,80,31,80
Labor Management,45,41,53,53
Opportunities in Nutrition and Health,13,0,6,13
Privacy and Data Security,12,20,11,20
Product Safety and Quality,13,26,19,26
Responsible Investment,9,0,5,9
Supply Chain Labor Standards,33,45,25,45
Not ESG,212,64,474,474
