,2020-BANCO BILBAO VIZCAYA ARGENTARIA-Annual,max
Biodiversity and Land Use,176,176
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,21,21
Financing Environmental Impact,120,120
Opportunities in Clean Tech,6,6
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,20,20
Packaging Material and Waste,35,35
Product Carbon Footprint,0,0
Raw Material Sourcing,4,4
Toxic Emissions and Waste,0,0
Water Stress,53,53
Accounting,13,13
Board,0,0
Business Ethics,222,222
Ownership and Control,16,16
Pay,0,0
Tax Transparency,36,36
Access to Communications,1,1
Access to Finance,39,39
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,201,201
Controversial Sourcing,3,3
Financial Product Safety,9,9
Health and Demographic Risk,9,9
Health and Safety,355,355
Human Capital Development,125,125
Labor Management,719,719
Opportunities in Nutrition and Health,22,22
Privacy and Data Security,216,216
Product Safety and Quality,255,255
Responsible Investment,7,7
Supply Chain Labor Standards,231,231
Not ESG,3877,3877
