,2020-BANCO BRADESCO-Annual,max
Biodiversity and Land Use,77,77
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,14,14
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,1,1
Water Stress,11,11
Accounting,0,0
Board,0,0
Business Ethics,48,48
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,55,55
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,54,54
Human Capital Development,76,76
Labor Management,194,194
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,49,49
Product Safety and Quality,33,33
Responsible Investment,1,1
Supply Chain Labor Standards,78,78
Not ESG,220,220
