,2020-BANK OF AMERICA CORP-ESG,2020-BANK OF AMERICA CORP-Annual,max
Biodiversity and Land Use,21,71,71
Carbon Emissions,1,0,1
Climate Change Vulnerability,0,0,0
Electronic Waste,0,1,1
Financing Environmental Impact,0,20,20
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,4,4
Packaging Material and Waste,10,15,15
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,1,1
Toxic Emissions and Waste,0,0,0
Water Stress,19,24,24
Accounting,0,5,5
Board,0,3,3
Business Ethics,6,161,161
Ownership and Control,0,3,3
Pay,0,1,1
Tax Transparency,0,11,11
Access to Communications,0,1,1
Access to Finance,0,21,21
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,18,451,451
Controversial Sourcing,0,0,0
Financial Product Safety,0,2,2
Health and Demographic Risk,0,3,3
Health and Safety,2,115,115
Human Capital Development,4,192,192
Labor Management,5,149,149
Opportunities in Nutrition and Health,1,21,21
Privacy and Data Security,1,67,67
Product Safety and Quality,1,48,48
Responsible Investment,0,4,4
Supply Chain Labor Standards,6,146,146
Not ESG,15,2205,2205
