,2020-BANK OF CHINA-Annual,2020-BANK OF CHINA-Sustainability,max
Biodiversity and Land Use,24,146,146
Carbon Emissions,0,0,0
Climate Change Vulnerability,2,0,2
Electronic Waste,11,6,11
Financing Environmental Impact,109,1,109
Opportunities in Clean Tech,4,1,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,4,4
Packaging Material and Waste,6,33,33
Product Carbon Footprint,0,0,0
Raw Material Sourcing,9,0,9
Toxic Emissions and Waste,0,0,0
Water Stress,29,24,29
Accounting,6,0,6
Board,0,0,0
Business Ethics,97,68,97
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,6,0,6
Access to Communications,0,0,0
Access to Finance,11,2,11
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,201,90,201
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,3,2,3
Health and Safety,86,57,86
Human Capital Development,24,47,47
Labor Management,368,176,368
Opportunities in Nutrition and Health,8,5,8
Privacy and Data Security,59,59,59
Product Safety and Quality,204,58,204
Responsible Investment,1,0,1
Supply Chain Labor Standards,82,62,82
Not ESG,2454,262,2454
