,2020-BANK OF MONTREAL-Sustainability,2020-BANK OF MONTREAL-Annual,max
Biodiversity and Land Use,300,53,300
Carbon Emissions,0,0,0
Climate Change Vulnerability,3,0,3
Electronic Waste,0,6,6
Financing Environmental Impact,7,39,39
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,7,1,7
Packaging Material and Waste,19,8,19
Product Carbon Footprint,1,0,1
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,1,0,1
Water Stress,86,21,86
Accounting,0,11,11
Board,0,0,0
Business Ethics,135,202,202
Ownership and Control,0,7,7
Pay,0,1,1
Tax Transparency,1,8,8
Access to Communications,1,0,1
Access to Finance,4,9,9
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,334,268,334
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,1,3,3
Health and Safety,54,171,171
Human Capital Development,162,119,162
Labor Management,153,118,153
Opportunities in Nutrition and Health,13,26,26
Privacy and Data Security,101,114,114
Product Safety and Quality,51,119,119
Responsible Investment,2,2,2
Supply Chain Labor Standards,112,175,175
Not ESG,234,2837,2837
