,2020-BANK OF NOVA SCOTIA-ESG,2020-BANK OF NOVA SCOTIA-Annual,max
Biodiversity and Land Use,78,38,78
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,2,2
Financing Environmental Impact,2,36,36
Opportunities in Clean Tech,1,6,6
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,10,0,10
Packaging Material and Waste,8,21,21
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,54,27,54
Accounting,0,6,6
Board,0,2,2
Business Ethics,39,211,211
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,0,11,11
Access to Communications,0,1,1
Access to Finance,0,9,9
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,189,199,199
Controversial Sourcing,0,0,0
Financial Product Safety,0,8,8
Health and Demographic Risk,0,6,6
Health and Safety,16,142,142
Human Capital Development,90,88,90
Labor Management,96,152,152
Opportunities in Nutrition and Health,2,28,28
Privacy and Data Security,41,100,100
Product Safety and Quality,7,93,93
Responsible Investment,0,5,5
Supply Chain Labor Standards,48,170,170
Not ESG,128,2952,2952
