,2020-BARCLAYS-ESG,max
Biodiversity and Land Use,277,277
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,1,1
Financing Environmental Impact,20,20
Opportunities in Clean Tech,6,6
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,14,14
Packaging Material and Waste,27,27
Product Carbon Footprint,1,1
Raw Material Sourcing,3,3
Toxic Emissions and Waste,1,1
Water Stress,73,73
Accounting,0,0
Board,0,0
Business Ethics,144,144
Ownership and Control,0,0
Pay,0,0
Tax Transparency,6,6
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,231,231
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,53,53
Human Capital Development,154,154
Labor Management,146,146
Opportunities in Nutrition and Health,2,2
Privacy and Data Security,111,111
Product Safety and Quality,84,84
Responsible Investment,0,0
Supply Chain Labor Standards,169,169
Not ESG,345,345
