,2020-BERKSHIRE HATHAWAY-10K,2020-BERKSHIRE HATHAWAY-Annual,max
Biodiversity and Land Use,55,61,61
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,4,4
Financing Environmental Impact,7,6,7
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,2,2
Opportunities in Renewable Energy,2,2,2
Packaging Material and Waste,124,110,124
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,2,2
Toxic Emissions and Waste,0,0,0
Water Stress,116,112,116
Accounting,0,0,0
Board,0,0,0
Business Ethics,43,48,48
Ownership and Control,1,2,2
Pay,0,0,0
Tax Transparency,4,3,4
Access to Communications,0,1,1
Access to Finance,3,2,3
Access to Health Care,0,0,0
Chemical Safety,4,4,4
Community Relations,187,216,216
Controversial Sourcing,0,0,0
Financial Product Safety,1,2,2
Health and Demographic Risk,0,1,1
Health and Safety,61,64,64
Human Capital Development,40,51,51
Labor Management,46,107,107
Opportunities in Nutrition and Health,13,27,27
Privacy and Data Security,37,38,38
Product Safety and Quality,72,82,82
Responsible Investment,1,1,1
Supply Chain Labor Standards,177,214,214
Not ESG,1361,1531,1531
