,2020-BEST BUY-Annual,2020-BEST BUY-10K,2020-BEST BUY-ESG,max
Biodiversity and Land Use,6,5,39,39
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,2,10,10,10
Financing Environmental Impact,2,21,1,21
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,0,2,2
Packaging Material and Waste,4,5,58,58
Product Carbon Footprint,0,1,0,1
Raw Material Sourcing,5,12,2,12
Toxic Emissions and Waste,0,0,0,0
Water Stress,1,1,30,30
Accounting,0,5,0,5
Board,0,1,0,1
Business Ethics,13,43,20,43
Ownership and Control,2,3,0,3
Pay,0,1,1,1
Tax Transparency,4,12,0,12
Access to Communications,1,1,0,1
Access to Finance,0,7,0,7
Access to Health Care,0,0,0,0
Chemical Safety,0,0,1,1
Community Relations,24,73,68,73
Controversial Sourcing,0,1,0,1
Financial Product Safety,1,1,0,1
Health and Demographic Risk,0,1,0,1
Health and Safety,18,44,24,44
Human Capital Development,17,78,64,78
Labor Management,44,118,59,118
Opportunities in Nutrition and Health,3,13,2,13
Privacy and Data Security,31,57,20,57
Product Safety and Quality,30,51,23,51
Responsible Investment,0,2,0,2
Supply Chain Labor Standards,66,142,75,142
Not ESG,118,655,36,655
