,2020-BHARAT PETROLEUM-Annual,2020-BHARAT PETROLEUM-Sustainability,max
Biodiversity and Land Use,126,131,131
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,24,11,24
Financing Environmental Impact,30,0,30
Opportunities in Clean Tech,3,0,3
Opportunities in Green Building,2,0,2
Opportunities in Renewable Energy,13,10,13
Packaging Material and Waste,138,109,138
Product Carbon Footprint,4,3,4
Raw Material Sourcing,20,11,20
Toxic Emissions and Waste,2,4,4
Water Stress,319,185,319
Accounting,3,0,3
Board,3,0,3
Business Ethics,81,42,81
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,15,2,15
Access to Communications,1,0,1
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,2,1,2
Community Relations,119,64,119
Controversial Sourcing,1,0,1
Financial Product Safety,2,0,2
Health and Demographic Risk,0,0,0
Health and Safety,114,116,116
Human Capital Development,71,37,71
Labor Management,575,146,575
Opportunities in Nutrition and Health,8,0,8
Privacy and Data Security,82,21,82
Product Safety and Quality,120,87,120
Responsible Investment,3,0,3
Supply Chain Labor Standards,135,61,135
Not ESG,2078,335,2078
