,2020-BMW GROUP-Annual,2020-BMW GROUP-Sustainability,max
Biodiversity and Land Use,242,100,242
Carbon Emissions,2,0,2
Climate Change Vulnerability,0,0,0
Electronic Waste,19,7,19
Financing Environmental Impact,8,0,8
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,6,7,7
Packaging Material and Waste,212,151,212
Product Carbon Footprint,14,3,14
Raw Material Sourcing,5,4,5
Toxic Emissions and Waste,0,1,1
Water Stress,78,68,78
Accounting,2,0,2
Board,0,0,0
Business Ethics,80,28,80
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,3,0,3
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,2,1,2
Community Relations,112,60,112
Controversial Sourcing,1,0,1
Financial Product Safety,0,0,0
Health and Demographic Risk,2,1,2
Health and Safety,157,89,157
Human Capital Development,72,56,72
Labor Management,336,163,336
Opportunities in Nutrition and Health,5,1,5
Privacy and Data Security,83,46,83
Product Safety and Quality,375,187,375
Responsible Investment,0,0,0
Supply Chain Labor Standards,204,80,204
Not ESG,2382,295,2382
