,2020-BNP PARIBAS-Annual,max
Biodiversity and Land Use,48,48
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,10,10
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,11,11
Packaging Material and Waste,2,2
Product Carbon Footprint,1,1
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,16,16
Accounting,0,0
Board,0,0
Business Ethics,20,20
Ownership and Control,2,2
Pay,0,0
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,49,49
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,27,27
Human Capital Development,13,13
Labor Management,85,85
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,31,31
Product Safety and Quality,22,22
Responsible Investment,2,2
Supply Chain Labor Standards,49,49
Not ESG,265,265
