,2020-BOEING-ESG,2020-BOEING-Annual,2020-BOEING-10K,max
Biodiversity and Land Use,90,25,22,90
Carbon Emissions,1,0,0,1
Climate Change Vulnerability,1,0,0,1
Electronic Waste,0,2,2,2
Financing Environmental Impact,1,10,5,10
Opportunities in Clean Tech,1,2,2,2
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,6,1,0,6
Packaging Material and Waste,74,54,28,74
Product Carbon Footprint,3,1,0,3
Raw Material Sourcing,1,2,3,3
Toxic Emissions and Waste,2,1,1,2
Water Stress,28,17,10,28
Accounting,0,0,2,2
Board,0,0,2,2
Business Ethics,6,82,53,82
Ownership and Control,0,0,0,0
Pay,0,0,0,0
Tax Transparency,0,4,3,4
Access to Communications,0,1,1,1
Access to Finance,0,2,2,2
Access to Health Care,0,0,0,0
Chemical Safety,0,2,0,2
Community Relations,24,163,108,163
Controversial Sourcing,0,0,0,0
Financial Product Safety,0,2,1,2
Health and Demographic Risk,0,1,1,1
Health and Safety,7,51,12,51
Human Capital Development,1,99,64,99
Labor Management,1,104,45,104
Opportunities in Nutrition and Health,0,11,11,11
Privacy and Data Security,1,41,25,41
Product Safety and Quality,12,200,121,200
Responsible Investment,0,0,2,2
Supply Chain Labor Standards,9,165,101,165
Not ESG,58,1538,1083,1538
