,2020-BOUYGUES-Annual,max
Biodiversity and Land Use,98,98
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,3,3
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,12,12
Packaging Material and Waste,40,40
Product Carbon Footprint,3,3
Raw Material Sourcing,8,8
Toxic Emissions and Waste,3,3
Water Stress,37,37
Accounting,0,0
Board,0,0
Business Ethics,23,23
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,2,2
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,46,46
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,25,25
Human Capital Development,17,17
Labor Management,84,84
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,23,23
Product Safety and Quality,19,19
Responsible Investment,1,1
Supply Chain Labor Standards,35,35
Not ESG,169,169
