,2020-BP-Annual,2020-BP-Sustainability,max
Biodiversity and Land Use,394,307,394
Carbon Emissions,2,1,2
Climate Change Vulnerability,0,0,0
Electronic Waste,26,0,26
Financing Environmental Impact,56,0,56
Opportunities in Clean Tech,17,6,17
Opportunities in Green Building,5,1,5
Opportunities in Renewable Energy,65,25,65
Packaging Material and Waste,150,82,150
Product Carbon Footprint,13,4,13
Raw Material Sourcing,26,1,26
Toxic Emissions and Waste,7,2,7
Water Stress,622,239,622
Accounting,0,0,0
Board,2,0,2
Business Ethics,196,69,196
Ownership and Control,13,0,13
Pay,0,0,0
Tax Transparency,12,0,12
Access to Communications,0,0,0
Access to Finance,3,0,3
Access to Health Care,0,0,0
Chemical Safety,17,0,17
Community Relations,224,203,224
Controversial Sourcing,3,0,3
Financial Product Safety,5,0,5
Health and Demographic Risk,1,0,1
Health and Safety,174,83,174
Human Capital Development,169,79,169
Labor Management,343,90,343
Opportunities in Nutrition and Health,14,0,14
Privacy and Data Security,113,27,113
Product Safety and Quality,145,42,145
Responsible Investment,12,0,12
Supply Chain Labor Standards,285,114,285
Not ESG,3270,242,3270
