,2020-BRIDGESTONE-Sustainability,2020-BRIDGESTONE-Annual,max
Biodiversity and Land Use,135,11,135
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,3,3
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,146,29,146
Product Carbon Footprint,2,0,2
Raw Material Sourcing,4,4,4
Toxic Emissions and Waste,1,0,1
Water Stress,36,7,36
Accounting,0,0,0
Board,0,0,0
Business Ethics,42,5,42
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,149,12,149
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,70,9,70
Human Capital Development,33,3,33
Labor Management,111,26,111
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,13,7,13
Product Safety and Quality,80,20,80
Responsible Investment,0,0,0
Supply Chain Labor Standards,65,14,65
Not ESG,150,54,150
