,2020-BRITISH AMERICAN TOBACCO-ESG,2020-BRITISH AMERICAN TOBACCO-Annual,max
Biodiversity and Land Use,427,157,427
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,21,21
Financing Environmental Impact,0,46,46
Opportunities in Clean Tech,0,11,11
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,1,3
Packaging Material and Waste,198,227,227
Product Carbon Footprint,4,3,4
Raw Material Sourcing,6,46,46
Toxic Emissions and Waste,2,3,3
Water Stress,106,73,106
Accounting,0,7,7
Board,0,1,1
Business Ethics,144,232,232
Ownership and Control,0,10,10
Pay,0,0,0
Tax Transparency,0,27,27
Access to Communications,0,0,0
Access to Finance,1,7,7
Access to Health Care,0,0,0
Chemical Safety,1,28,28
Community Relations,223,261,261
Controversial Sourcing,0,4,4
Financial Product Safety,0,12,12
Health and Demographic Risk,0,4,4
Health and Safety,170,265,265
Human Capital Development,75,180,180
Labor Management,136,502,502
Opportunities in Nutrition and Health,3,21,21
Privacy and Data Security,86,111,111
Product Safety and Quality,196,279,279
Responsible Investment,0,4,4
Supply Chain Labor Standards,249,502,502
Not ESG,184,2963,2963
