,2020-BROOKFIELD ASSET MANAGEMENT-ESG,2020-BROOKFIELD ASSET MANAGEMENT-Annual,max
Biodiversity and Land Use,43,68,68
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,1,1
Electronic Waste,2,106,106
Financing Environmental Impact,1,50,50
Opportunities in Clean Tech,1,25,25
Opportunities in Green Building,0,6,6
Opportunities in Renewable Energy,5,15,15
Packaging Material and Waste,8,21,21
Product Carbon Footprint,0,1,1
Raw Material Sourcing,2,17,17
Toxic Emissions and Waste,0,2,2
Water Stress,46,125,125
Accounting,0,5,5
Board,0,1,1
Business Ethics,49,107,107
Ownership and Control,1,2,2
Pay,0,1,1
Tax Transparency,0,30,30
Access to Communications,0,0,0
Access to Finance,0,4,4
Access to Health Care,0,0,0
Chemical Safety,1,3,3
Community Relations,74,245,245
Controversial Sourcing,0,0,0
Financial Product Safety,0,3,3
Health and Demographic Risk,0,0,0
Health and Safety,39,41,41
Human Capital Development,47,38,47
Labor Management,30,202,202
Opportunities in Nutrition and Health,3,64,64
Privacy and Data Security,26,62,62
Product Safety and Quality,7,33,33
Responsible Investment,0,6,6
Supply Chain Labor Standards,33,195,195
Not ESG,66,1866,1866
