,2020-BT GROUP-Sustainability,2020-BT GROUP-Annual,max
Biodiversity and Land Use,61,69,69
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,0,1,1
Financing Environmental Impact,0,16,16
Opportunities in Clean Tech,0,5,5
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,4,4
Packaging Material and Waste,44,34,44
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,1,2
Toxic Emissions and Waste,0,0,0
Water Stress,42,29,42
Accounting,0,1,1
Board,0,0,0
Business Ethics,25,135,135
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,5,5
Access to Communications,0,0,0
Access to Finance,0,2,2
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,129,177,177
Controversial Sourcing,0,2,2
Financial Product Safety,0,6,6
Health and Demographic Risk,0,0,0
Health and Safety,38,103,103
Human Capital Development,78,159,159
Labor Management,67,356,356
Opportunities in Nutrition and Health,4,2,4
Privacy and Data Security,81,272,272
Product Safety and Quality,25,122,122
Responsible Investment,0,1,1
Supply Chain Labor Standards,50,221,221
Not ESG,83,2132,2132
