,2020-BUNGE-Annual,2020-BUNGE-Sustainability,max
Biodiversity and Land Use,5,139,139
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,2,2
Packaging Material and Waste,0,12,12
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,0,17,17
Accounting,0,0,0
Board,0,0,0
Business Ethics,1,17,17
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,0,0
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,2,10,10
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,4,8,8
Human Capital Development,3,7,7
Labor Management,2,11,11
Opportunities in Nutrition and Health,0,0,0
Privacy and Data Security,0,3,3
Product Safety and Quality,2,14,14
Responsible Investment,0,0,0
Supply Chain Labor Standards,4,20,20
Not ESG,7,28,28
