,2020-CARREFOUR-CSR,max
Biodiversity and Land Use,11,11
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,7,7
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,1,1
Water Stress,1,1
Accounting,0,0
Board,0,0
Business Ethics,1,1
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,2,2
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,3,3
Human Capital Development,3,3
Labor Management,3,3
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,0,0
Product Safety and Quality,2,2
Responsible Investment,0,0
Supply Chain Labor Standards,3,3
Not ESG,3,3
