,2020-CENTENE-ESG,2020-CENTENE-10K,max
Biodiversity and Land Use,3,11,11
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,1,2,2
Financing Environmental Impact,0,11,11
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,1,4,4
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,5,2,5
Accounting,0,2,2
Board,0,0,0
Business Ethics,8,82,82
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,7,7
Access to Communications,1,1,1
Access to Finance,0,9,9
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,50,225,225
Controversial Sourcing,0,0,0
Financial Product Safety,1,3,3
Health and Demographic Risk,0,1,1
Health and Safety,41,366,366
Human Capital Development,18,156,156
Labor Management,14,58,58
Opportunities in Nutrition and Health,2,13,13
Privacy and Data Security,8,89,89
Product Safety and Quality,0,42,42
Responsible Investment,0,1,1
Supply Chain Labor Standards,4,96,96
Not ESG,25,913,913
