,2020-CHEVRON-10K,2020-CHEVRON-Annual,2020-CHEVRON-CSR,max
Biodiversity and Land Use,167,114,137,167
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,3,0,3
Financing Environmental Impact,6,94,0,94
Opportunities in Clean Tech,3,1,2,3
Opportunities in Green Building,0,0,1,1
Opportunities in Renewable Energy,0,5,4,5
Packaging Material and Waste,44,33,39,44
Product Carbon Footprint,0,2,3,3
Raw Material Sourcing,0,1,1,1
Toxic Emissions and Waste,2,2,1,2
Water Stress,407,233,114,407
Accounting,6,1,0,6
Board,0,0,0,0
Business Ethics,37,25,35,37
Ownership and Control,1,1,0,1
Pay,0,1,0,1
Tax Transparency,6,3,0,6
Access to Communications,0,0,0,0
Access to Finance,2,3,0,3
Access to Health Care,0,0,0,0
Chemical Safety,0,2,3,3
Community Relations,83,81,99,99
Controversial Sourcing,0,0,0,0
Financial Product Safety,3,0,0,3
Health and Demographic Risk,1,0,2,2
Health and Safety,14,33,73,73
Human Capital Development,55,46,57,57
Labor Management,74,71,31,74
Opportunities in Nutrition and Health,12,20,2,20
Privacy and Data Security,22,11,18,22
Product Safety and Quality,33,26,33,33
Responsible Investment,2,6,0,6
Supply Chain Labor Standards,91,77,42,91
Not ESG,1068,882,138,1068
