,2020-CHINA ELECTRONICS TECHNOLOGY GROUP-Annual,max
Biodiversity and Land Use,7,7
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,3,3
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,5,5
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,3,3
Accounting,0,0
Board,1,1
Business Ethics,21,21
Ownership and Control,1,1
Pay,0,0
Tax Transparency,3,3
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,29,29
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,11,11
Human Capital Development,12,12
Labor Management,47,47
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,20,20
Product Safety and Quality,33,33
Responsible Investment,0,0
Supply Chain Labor Standards,27,27
Not ESG,602,602
