,2020-CHINA EVERBRIGHT GROUP-Annual,max
Biodiversity and Land Use,83,83
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,0,0
Financing Environmental Impact,11,11
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,4,4
Packaging Material and Waste,41,41
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,1,1
Water Stress,31,31
Accounting,0,0
Board,0,0
Business Ethics,101,101
Ownership and Control,1,1
Pay,0,0
Tax Transparency,3,3
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,124,124
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,122,122
Human Capital Development,49,49
Labor Management,297,297
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,46,46
Product Safety and Quality,81,81
Responsible Investment,1,1
Supply Chain Labor Standards,89,89
Not ESG,1289,1289
