,2020-CHINA EVERGRANDE GROUP-Annual,2020-CHINA EVERGRANDE GROUP-ESG,max
Biodiversity and Land Use,30,82,82
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,5,5
Financing Environmental Impact,3,1,3
Opportunities in Clean Tech,2,0,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,8,8
Packaging Material and Waste,8,37,37
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,1,1
Toxic Emissions and Waste,0,3,3
Water Stress,4,38,38
Accounting,1,0,1
Board,2,0,2
Business Ethics,20,20,20
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,68,48,68
Controversial Sourcing,1,0,1
Financial Product Safety,2,0,2
Health and Demographic Risk,1,0,1
Health and Safety,36,38,38
Human Capital Development,21,13,21
Labor Management,149,174,174
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,15,24,24
Product Safety and Quality,25,89,89
Responsible Investment,2,0,2
Supply Chain Labor Standards,31,46,46
Not ESG,1057,121,1057
