,2020-CHINA HUADIAN-CSR,max
Biodiversity and Land Use,58,58
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,9,9
Packaging Material and Waste,17,17
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,3,3
Water Stress,77,77
Accounting,0,0
Board,0,0
Business Ethics,15,15
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,22,22
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,42,42
Human Capital Development,3,3
Labor Management,57,57
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,8,8
Product Safety and Quality,22,22
Responsible Investment,0,0
Supply Chain Labor Standards,14,14
Not ESG,98,98
