,2020-CHINA HUANENG GROUP-Annual,2020-CHINA HUANENG GROUP-Sustainability,2020-CHINA HUANENG GROUP-ESG,max
Biodiversity and Land Use,25,70,79,79
Carbon Emissions,0,0,1,1
Climate Change Vulnerability,0,1,0,1
Electronic Waste,2,2,4,4
Financing Environmental Impact,8,0,0,8
Opportunities in Clean Tech,1,0,0,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,48,25,16,48
Packaging Material and Waste,23,15,56,56
Product Carbon Footprint,1,1,0,1
Raw Material Sourcing,6,11,1,11
Toxic Emissions and Waste,1,4,2,4
Water Stress,393,128,177,393
Accounting,0,0,0,0
Board,0,0,0,0
Business Ethics,23,9,32,32
Ownership and Control,1,1,0,1
Pay,0,0,0,0
Tax Transparency,1,2,0,2
Access to Communications,0,0,0,0
Access to Finance,1,0,0,1
Access to Health Care,0,0,0,0
Chemical Safety,0,2,1,2
Community Relations,41,96,20,96
Controversial Sourcing,0,0,0,0
Financial Product Safety,0,0,0,0
Health and Demographic Risk,0,0,0,0
Health and Safety,48,45,93,93
Human Capital Development,16,8,13,16
Labor Management,233,191,124,233
Opportunities in Nutrition and Health,5,0,0,5
Privacy and Data Security,25,7,14,25
Product Safety and Quality,64,52,100,100
Responsible Investment,2,0,0,2
Supply Chain Labor Standards,41,24,52,52
Not ESG,1859,254,206,1859
