,2020-CHINA LIFE INSURANCE-CSR,2020-CHINA LIFE INSURANCE-Annual,max
Biodiversity and Land Use,157,27,157
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,2,2
Financing Environmental Impact,2,3,3
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,5,2,5
Packaging Material and Waste,42,1,42
Product Carbon Footprint,2,0,2
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,1,0,1
Water Stress,33,1,33
Accounting,0,0,0
Board,0,0,0
Business Ethics,149,22,149
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,2,0,2
Access to Communications,0,1,1
Access to Finance,2,0,2
Access to Health Care,1,0,1
Chemical Safety,0,1,1
Community Relations,127,12,127
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,199,39,199
Human Capital Development,130,17,130
Labor Management,454,189,454
Opportunities in Nutrition and Health,7,0,7
Privacy and Data Security,191,27,191
Product Safety and Quality,179,38,179
Responsible Investment,1,0,1
Supply Chain Labor Standards,134,21,134
Not ESG,316,142,316
