,2020-CHINA MERCHANTS BANK-Sustainability,2020-CHINA MERCHANTS BANK-Annual,max
Biodiversity and Land Use,109,25,109
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,18,17,18
Financing Environmental Impact,5,30,30
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,0,3
Packaging Material and Waste,32,6,32
Product Carbon Footprint,0,0,0
Raw Material Sourcing,3,2,3
Toxic Emissions and Waste,2,0,2
Water Stress,45,13,45
Accounting,0,9,9
Board,0,0,0
Business Ethics,54,78,78
Ownership and Control,0,6,6
Pay,0,0,0
Tax Transparency,0,6,6
Access to Communications,0,0,0
Access to Finance,2,9,9
Access to Health Care,0,0,0
Chemical Safety,1,1,1
Community Relations,156,106,156
Controversial Sourcing,1,1,1
Financial Product Safety,0,5,5
Health and Demographic Risk,1,3,3
Health and Safety,81,83,83
Human Capital Development,48,34,48
Labor Management,339,442,442
Opportunities in Nutrition and Health,4,13,13
Privacy and Data Security,113,65,113
Product Safety and Quality,124,125,125
Responsible Investment,0,0,0
Supply Chain Labor Standards,120,82,120
Not ESG,499,2219,2219
